"X","genotype_a","genotype_b","avg_fitness_a","avg_fitness_b","fitness_sd_a","fitness_sd_b","raw_p","adj_p","starting_fitness_a","starting_fitness_b","fitness_diff","mut_prob","pop_size","condition_num","genotype_a_x","genotype_b_x","starting_fitness_a_norm","starting_fitness_b_norm","avg_fitness_a_norm","avg_fitness_b_norm","sd_fitness_a_norm","sd_fitness_b_norm","is_signif","signif_marker","signif_text","text_x","x_min","x_max","y","text_y","mut_str","mut_factor"
1,0,1,1.30783,1.331,0.0848791243921364,0,0.996431680795667,1,1.000002,1.000002,0,0.001,1000,3,0,-1,1.000002,1.000002,1.30783,1.331,0.0848791243921364,0,FALSE,"","p=1",-0.55,-0.9,-0.1,0.85,0.81,"0.001 (base)","0.001 (base)"
6,0,32,1.30783,1.2658028,0.0848791243921364,0.249279770377288,0.00280862250443224,0.0168517350265935,1.000002,1.000002,0,0.001,1000,3,0,1,1.000002,1.000002,1.30783,1.2658028,0.0848791243921364,0.249279770377288,TRUE,"*","p=0.017",0.45,0.9,0.1,0.85,0.81,"0.001 (base)","0.001 (base)"
7,1,0,1.331,1.30783,0,0.0848791243921364,0.00365125843977162,0.0219075506386297,1.000002,1.000002,0,0.001,1000,3,-1,0,1.000002,1.000002,1.331,1.30783,0,0.0848791243921364,TRUE,"*","p=0.022",-0.55,-0.1,-0.9,0.85,0.81,"0.001 (base)","0.001 (base)"
8,1,3,1.331,1.331,0,0,1,1,1.000002,1.000002,0,0.001,1000,3,-1,-2,1.000002,1.000002,1.331,1.331,0,0,FALSE,"","p=1",-1.55,-1.9,-1.1,0.85,0.81,"0.001 (base)","0.001 (base)"
20,3,1,1.331,1.331,0,0,1,1,1.000002,1.000002,0,0.001,1000,3,-2,-1,1.000002,1.000002,1.331,1.331,0,0,FALSE,"","p=1",-1.55,-1.1,-1.9,0.85,0.81,"0.001 (base)","0.001 (base)"
21,3,7,1.331,1.331,0,0,1,1,1.000002,1.330998,0.330996,0.001,1000,3,-2,-3,1.000002,1.330998,1.331,1.331,0,0,FALSE,"","p=1",-2.55,-2.9,-2.1,0.85,0.81,"0.001 (base)","0.001 (base)"
45,7,3,1.331,1.331,0,0,1,1,1.330998,1.000002,-0.330996,0.001,1000,3,-3,-2,1.330998,1.000002,1.331,1.331,0,0,FALSE,"","p=1",-2.55,-2.1,-2.9,0.85,0.81,"0.001 (base)","0.001 (base)"
197,32,48,1.2658028,1.482796,0.249279770377288,0.363296609965082,0.999985819180323,1,1.000002,1.000002,0,0.001,1000,3,1,2,1.000002,1.000002,1.2658028,1.482796,0.249279770377288,0.363296609965082,FALSE,"","p=1",1.45,1.9,1.1,0.85,0.81,"0.001 (base)","0.001 (base)"
198,32,0,1.2658028,1.30783,0.249279770377288,0.0848791243921364,0.997217939631971,1,1.000002,1.000002,0,0.001,1000,3,1,0,1.000002,1.000002,1.2658028,1.30783,0.249279770377288,0.0848791243921364,FALSE,"","p=1",0.45,0.1,0.9,0.85,0.81,"0.001 (base)","0.001 (base)"
292,48,56,1.482796,1.7638444,0.363296609965082,0.077156,0.99999999999411,1,1.000002,1.000002,0,0.001,1000,3,2,3,1.000002,1.000002,1.482796,1.7638444,0.363296609965082,0.077156,FALSE,"","p=1",2.45,2.9,2.1,0.85,0.81,"0.001 (base)","0.001 (base)"
